id,player_name,14-15_games,14-15_mins_played,14-15_goals,14-15_goals_per_90,14-15_npg,14-15_npg_per_90,14-15_xG,14-15_xG_per_90,14-15_npxG,14-15_npxG_per_90,14-15_assists,14-15_assists_per_90,14-15_xA,14-15_xA_per_90,14-15_xGChain,14-15_xGChain_per_90,14-15_xGBuildup,14-15_xGBuildup_per_90,14-15_shots,14-15_shots_per_90,14-15_key_passes,14-15_key_passes_per_90,14-15_yellow_cards,14-15_red_cards,14-15_team,14-15_league
1255,Francesco Totti,27,1765,8,0.40793201133144474,4,0.20396600566572237,6.941790129989386,0.3539723012459177,3.896594800055027,0.19869321926626202,6,0.3059490084985836,3.9552316926419735,0.20168320245766438,9.901213757693768,0.5048777553498239,5.067364572547376,0.2583925277786197,52,2.651558073654391,47,2.396600566572238,5,0,Roma,Serie_A
1426,Josip Ilicic,25,1528,8,0.47120418848167545,7,0.4123036649214659,4.872598621994257,0.2869986099342167,4.111299846321344,0.24215771346133574,3,0.17670157068062825,4.165326850488782,0.24533993229318743,8.42540667578578,0.49626086441146605,3.952688835561276,0.2328154418851537,72,4.2408376963350785,44,2.5916230366492146,6,0,Fiorentina,Serie_A
1518,Rodrigo Palacio,35,2645,8,0.2722117202268431,8,0.2722117202268431,11.22072902135551,0.3818017436378056,10.45943015627563,0.3558974344290385,5,0.17013232514177695,5.549903377890587,0.1888435931985455,17.9562742523849,0.6109885378883332,6.5271936589851975,0.22209732677076285,58,1.9735349716446124,62,2.109640831758034,3,0,Inter,Serie_A
1580,Mattia Destro,31,1663,8,0.4329524954900782,8,0.4329524954900782,8.238391309976578,0.4458540095597667,8.238391309976578,0.4458540095597667,0,0.0,0.3227579705417156,0.017467358598168614,9.835567662492394,0.5322916955046997,2.7634819950908422,0.14955705325206,41,2.2188815393866506,7,0.37883343355381843,5,0,"AC Milan,Roma",Serie_A
1611,Franco Brienza,30,2513,8,0.28651014723438123,5,0.17906884202148826,6.41928849928081,0.22989891163361437,4.135392053052783,0.14810397324900537,4,0.14325507361719061,5.028767028823495,0.18009909772945265,10.538085583597422,0.3774085565156259,4.629649226553738,0.16580518519293133,53,1.8981297254277756,52,1.862315957023478,2,0,Cesena,Serie_A
1740,Paul Pogba,26,2110,8,0.3412322274881517,8,0.3412322274881517,4.495958996936679,0.19177076290251238,4.495958996936679,0.19177076290251238,3,0.12796208530805686,3.842502973973751,0.1638982311173638,13.784531138837336,0.5879657831731565,7.027708617970347,0.29976008323096265,56,2.3886255924170614,37,1.5781990521327014,4,0,Juventus,Serie_A
1804,Álvaro Morata,29,1309,8,0.5500381970970206,8,0.5500381970970206,5.009029731154442,0.3443947103161954,5.009029731154442,0.3443947103161954,5,0.3437738731856379,1.8117073997855184,0.12456353398066973,8.702469807118177,0.5983363503748174,2.4549084026366472,0.1687866739780735,51,3.5064935064935066,19,1.3063407181054238,6,1,Juventus,Serie_A
1984,Germán Denis,32,2325,8,0.3096774193548387,5,0.1935483870967742,8.567573076114058,0.33164799004312484,5.522377794608474,0.2137694630171022,0,0.0,1.8327204948291185,0.07094401915467555,8.199358515441418,0.31739452317837746,1.9152593249455092,0.07413907064305197,54,2.0903225806451613,37,1.4322580645161291,4,0,Atalanta,Serie_A
222,Arturo Vidal,28,2094,7,0.3008595988538682,5,0.21489971346704873,6.3325151624158025,0.2721711387857795,4.048618701286614,0.17400939976876564,4,0.17191977077363896,3.844552844762802,0.16523866094969064,12.663057623431088,0.5442574909784136,7.854537315666676,0.3375875637106021,53,2.2779369627507164,37,1.5902578796561606,7,0,Juventus,Serie_A
1104,Leonardo Pavoletti,19,633,7,0.9952606635071091,7,0.9952606635071091,5.597619662061334,0.7958700941319432,5.597619662061334,0.7958700941319432,3,0.4265402843601896,0.5380689296871424,0.07650269142471218,5.821299161761999,0.8276728666012321,1.1754418034106493,0.1671244270252108,26,3.6966824644549763,9,1.2796208530805686,4,0,"Genoa,Sassuolo",Serie_A
1121,Giacomo Bonaventura,34,2664,7,0.2364864864864865,7,0.2364864864864865,5.904543465934694,0.19947781979509102,5.904543465934694,0.19947781979509102,4,0.13513513513513514,4.090717790648341,0.13819992535974124,11.33808059245348,0.38304326325856347,2.8566295132040977,0.09650775382446275,61,2.060810810810811,44,1.4864864864864864,3,1,"AC Milan,Atalanta",Serie_A
1313,Riccardo Saponara,18,1329,7,0.47404063205417607,6,0.4063205417607223,5.481223972514272,0.3711889823373096,4.719925196841359,0.3196337605084442,3,0.20316027088036115,2.4814653638750315,0.16804505850169513,9.235049178823829,0.6253983642544354,3.59297059290111,0.24331629297298712,52,3.5214446952595937,23,1.5575620767494356,2,1,"AC Milan,Empoli",Serie_A
1347,Sergio Pellissier,27,1110,7,0.5675675675675675,6,0.4864864864864865,4.924367818981409,0.39927306640389804,4.163069028407335,0.3375461374384326,1,0.08108108108108109,1.3083139434456823,0.1060795089280283,5.108891265466809,0.4142344269297413,0.4483275078237057,0.036350879012732894,29,2.3513513513513513,13,1.0540540540540542,0,0,Chievo,Serie_A
1381,Marek Hamsik,35,2319,7,0.2716688227684347,7,0.2716688227684347,7.829731174744666,0.30387055011945663,7.829731174744666,0.30387055011945663,10,0.3880983182406209,8.202062137424946,0.31832065216396943,23.07313366606832,0.8954644372342168,9.989368945360184,0.3876857287979373,82,3.1824062095730916,69,2.6778783958602848,1,0,Napoli,Serie_A
