id,player_name,15-16_games,15-16_mins_played,15-16_goals,15-16_goals_per_90,15-16_npg,15-16_npg_per_90,15-16_xG,15-16_xG_per_90,15-16_npxG,15-16_npxG_per_90,15-16_assists,15-16_assists_per_90,15-16_xA,15-16_xA_per_90,15-16_xGChain,15-16_xGChain_per_90,15-16_xGBuildup,15-16_xGBuildup_per_90,15-16_shots,15-16_shots_per_90,15-16_key_passes,15-16_key_passes_per_90,15-16_yellow_cards,15-16_red_cards,15-16_team,15-16_league,15-16_transferred
2337,Recio,33,2757,0,0.0,0,0.0,2.361354127526284,0.0770844655340462,2.361354127526284,0.0770844655340462,4,0.1305767138193689,3.624509676359594,0.118319140686385,10.27148325368762,0.335304132329302,8.53817038051784,0.2787215575794725,36,1.17519042437432,36,1.17519042437432,16,0,Malaga,LaLiga,No
3306,Remi Walter,12,543,0,0.0,0,0.0,0.5761652495712042,0.0954970026913598,0.5761652495712042,0.0954970026913598,0,0.0,0.2369575761258602,0.0392747363744519,2.72187777236104,0.4511399622697857,2.253754688426852,0.3735505008442295,12,1.9889502762430935,6,0.9944751381215468,0,0,Nice,Ligue1,No
1488,Remo Freuler,6,451,1,0.1995565410199556,1,0.1995565410199556,0.5657193958759308,0.1128930058288997,0.5657193958759308,0.1128930058288997,0,0.0,0.0835832133889198,0.0166795769512256,0.9786605387926102,0.1952981119541794,0.4878751393407583,0.0973586752564706,5,0.9977827050997784,3,0.5986696230598669,0,0,Atalanta,Serie_A,No
3355,Renato Civelli,32,2763,0,0.0,0,0.0,2.5121555170044303,0.0818291699349977,2.5121555170044303,0.0818291699349977,0,0.0,0.2606195155531168,0.0084892350343034,2.038593180477619,0.0664036866605087,1.7722009234130385,0.0577264144434214,17,0.5537459283387622,7,0.2280130293159609,6,2,Lille,Ligue1,No
3560,Renaud Cohade,19,1153,0,0.0,0,0.0,0.5668454803526402,0.0442463948237099,0.5668454803526402,0.0442463948237099,2,0.1561144839549002,1.825401215814054,0.1424857844087292,2.2958743888884783,0.1792096227232983,1.5807156302034857,0.123386302444331,12,0.9366869037294016,21,1.6392020815264523,3,0,Saint-Etienne,Ligue1,No
2083,Rene Krhin,24,1429,0,0.0,0,0.0,0.6352603146806359,0.0400093970057783,0.6352603146806359,0.0400093970057783,0,0.0,0.1409301282837987,0.0088759353012889,2.217829504981637,0.1396813544075208,2.0623339395970106,0.1298880717730797,8,0.5038488453463961,5,0.3149055283414975,3,0,Granada,LaLiga,No
163,René Adler,24,2072,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0434362934362934,0.0560437133535742,0.0024343311784853,0.2648916319012642,0.0115059106520819,0.2088479213416576,0.0090715795949561,0,0.0,2,0.0868725868725868,3,1,Hamburger SV,Bundesliga,No
2441,Reyes,24,1187,1,0.075821398483572,1,0.075821398483572,1.874334489926696,0.1421146622522347,1.874334489926696,0.1421146622522347,1,0.075821398483572,3.776809900999069,0.2863630085003507,7.511037744581699,0.5694973858570791,3.777336981147528,0.2864029724543197,21,1.5922493681550125,32,2.426284751474305,6,0,Sevilla,LaLiga,No
3481,Reynald Lemaître,6,453,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3094669543206692,0.061483500858411,1.213946033269167,0.2411813311130795,1.18577029556036,0.2355835024292105,0,0.0,2,0.3973509933774834,2,0,Guingamp,Ligue1,No
3418,Ricardo Carvalho,33,2908,2,0.061898211829436,2,0.061898211829436,0.9138788105919956,0.0282837321022282,0.9138788105919956,0.0282837321022282,0,0.0,0.2940766224637627,0.0091014085356735,4.894713971763849,0.1514870211343694,4.732705477625132,0.1464730030901863,8,0.2475928473177441,3,0.092847317744154,8,0,Monaco,Ligue1,No
